.spot: whois.nic.spot
.nationwide: whois.nic.nationwide
.公益: whois.conac.cn
.gd: whois.nic.gd
.krd: whois.nic.krd
.ഭാരതം: whois.registry.in
.dog: whois.nic.dog
.coach: whois.nic.coach
.coffee: whois.nic.coffee
.college: whois.nic.college
.gea: whois.afilias-srs.net
.software: whois.nic.software
.erni: whois.nic.erni
.codes: whois.nic.codes
.guge: whois.nic.google
.storage: whois.nic.storage
.es: whois.nic.es
.fly: whois.nic.google
.gent: whois.nic.gent
.cricket: whois.nic.cricket
.tdk: whois.nic.tdk
.report: whois.nic.report
.esurance: whois.afilias-srs.net
.онлайн: whois.nic.xn--80asehdb
.guitars: whois.uniregistry.net
.com: whois.verisign-grs.com
.tattoo: whois.uniregistry.net
.ভাৰত: whois.registry.in
.george: whois.nic.george
.comcast: whois.nic.comcast
.estate: whois.nic.estate
.download: whois.nic.download
.gg: whois.gg
.esq: whois.nic.google
.foo: whois.nic.google
.ifm: whois.nic.ifm
.gy: whois.registry.gy
.pars: whois.nic.pars
.guide: whois.nic.guide
.genting: whois.nic.genting
.guru: whois.nic.guru
.dot: whois.nic.dot
.fo: whois.nic.fo
.farm: whois.nic.farm
.ggee: whois.nic.ggee
.drive: whois.nic.google
.football: whois.nic.football
.ikano: whois.nic.ikano
.dtv: whois.nic.dtv
.hamburg: whois.nic.hamburg
.im: whois.nic.im
.il: whois.isoc.org.il
.vodka: whois.nic.vodka
.forum: whois.nic.forum
.etisalat: whois.centralnic.com
.hangout: whois.nic.google
.eus: whois.nic.eus
.haus: whois.nic.haus
.gifts: whois.nic.gifts
.volkswagen: whois.afilias-srs.net
.immobilien: whois.nic.immobilien
.gives: whois.nic.gives
.fox: whois.nic.fox
.vote: whois.afilias.net
.giving: whois.nic.giving
.fr: whois.nic.fr
.exchange: whois.nic.exchange
.glade: whois.nic.glade
.gl: whois.nic.gl
.inc: whois.nic.inc
.free: whois.nic.free
.voting: whois.nic.voting
.voto: whois.afilias.net
.fresenius: whois.nic.fresenius
